[INFO] config loaded: ../config.yaml
[INFO] mode: RECEIVER_ONLY (no XHand)
[INFO] UDP bound 0.0.0.0:9000
[INFO] waiting for first packet...
[INFO] first packet from 192.168.3.24
[recv   1] L: l0=0.0 l1=0.0 l2=-0.2 l3=-0.6 l4=-3.5 l5=-4.4 l6=-3.6 l7=-1.0 l8=-0.6 l9=-0.8 l10=0.0 l11=0.2 l12=-7.3 l13=-9.1 l14=-4.8 l15=0.0 l16=-12.5 l17=-15.7 l18=-12.4 l19=0.0 l20=5.1 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=99.4
[recv   2] L: l0=0.0 l1=0.0 l2=-0.4 l3=-1.1 l4=-3.6 l5=-4.6 l6=-3.7 l7=-0.9 l8=-0.7 l9=-0.8 l10=0.0 l11=0.2 l12=-7.3 l13=-9.2 l14=-4.8 l15=0.0 l16=-12.8 l17=-16.0 l18=-12.7 l19=0.0 l20=5.2 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=99.7
[recv   3] L: l0=0.0 l1=0.0 l2=-0.7 l3=-1.8 l4=-3.8 l5=-4.8 l6=-3.9 l7=-0.9 l8=-0.7 l9=-0.9 l10=0.0 l11=0.2 l12=-7.4 l13=-9.3 l14=-4.8 l15=0.0 l16=-13.0 l17=-16.3 l18=-12.9 l19=0.0 l20=5.4 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=74.9
[recv   4] L: l0=0.0 l1=0.0 l2=-0.9 l3=-2.5 l4=-3.9 l5=-5.0 l6=-4.0 l7=-0.9 l8=-0.8 l9=-1.0 l10=0.0 l11=0.2 l12=-7.5 l13=-9.3 l14=-4.9 l15=0.0 l16=-13.3 l17=-16.6 l18=-13.2 l19=0.0 l20=5.5 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=79.9
[recv   5] L: l0=0.0 l1=0.0 l2=-1.0 l3=-2.8 l4=-4.0 l5=-5.1 l6=-4.1 l7=-0.8 l8=-0.8 l9=-1.0 l10=0.0 l11=0.1 l12=-7.5 l13=-9.4 l14=-4.9 l15=0.0 l16=-13.4 l17=-16.8 l18=-13.3 l19=0.0 l20=5.6 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=71.4
[recv   6] L: l0=0.0 l1=0.0 l2=-1.2 l3=-3.3 l4=-4.2 l5=-5.3 l6=-4.3 l7=-0.8 l8=-0.8 l9=-1.1 l10=0.0 l11=0.1 l12=-7.6 l13=-9.5 l14=-5.0 l15=0.0 l16=-13.7 l17=-17.1 l18=-13.6 l19=0.0 l20=5.7 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=66.6
[recv   7] L: l0=0.0 l1=0.0 l2=-1.3 l3=-3.6 l4=-4.4 l5=-5.5 l6=-4.5 l7=-0.7 l8=-0.9 l9=-1.1 l10=0.0 l11=0.1 l12=-7.7 l13=-9.7 l14=-5.1 l15=0.0 l16=-13.9 l17=-17.4 l18=-13.8 l19=0.0 l20=5.8 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=70.0
[recv   8] L: l0=0.0 l1=0.0 l2=-1.4 l3=-3.6 l4=-4.5 l5=-5.6 l6=-4.6 l7=-0.7 l8=-0.9 l9=-1.2 l10=0.0 l11=0.1 l12=-7.8 l13=-9.7 l14=-5.1 l15=0.0 l16=-14.0 l17=-17.5 l18=-13.8 l19=0.0 l20=5.8 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=66.6
[recv   9] L: l0=0.0 l1=0.0 l2=-1.4 l3=-3.6 l4=-4.7 l5=-5.9 l6=-4.8 l7=-0.7 l8=-1.0 l9=-1.2 l10=0.0 l11=0.1 l12=-7.9 l13=-9.8 l14=-5.2 l15=0.0 l16=-14.2 l17=-17.7 l18=-14.0 l19=0.0 l20=5.8 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=69.2
[recv  10] L: l0=0.0 l1=0.0 l2=-1.4 l3=-3.6 l4=-4.9 l5=-6.1 l6=-5.0 l7=-0.6 l8=-1.0 l9=-1.3 l10=0.0 l11=0.1 l12=-7.9 l13=-10.0 l14=-5.3 l15=0.0 l16=-14.3 l17=-17.9 l18=-14.1 l19=0.0 l20=5.8 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=66.6
[recv  11] L: l0=0.0 l1=0.0 l2=-1.4 l3=-3.6 l4=-5.1 l5=-6.4 l6=-5.2 l7=-0.5 l8=-1.0 l9=-1.3 l10=0.0 l11=0.1 l12=-8.0 l13=-10.0 l14=-5.3 l15=0.0 l16=-14.4 l17=-17.9 l18=-14.2 l19=0.0 l20=5.8 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=64.7
