[INFO] config loaded: ../config.yaml
[INFO] mode: RECEIVER_ONLY (no XHand)
[INFO] UDP bound 0.0.0.0:9000
[INFO] waiting for first calibrated UDP frame (timeout=10s)...
[INFO] first packet from 192.168.3.24
[recv   1] L: l0=0.0 l1=-20.8 l2=3.4 l3=8.7 l4=-12.6 l5=-15.8 l6=-10.0 l7=0.0 l8=-0.5 l9=-0.6 l10=-0.1 l11=0.0 l12=-6.3 l13=-7.9 l14=-5.8 l15=0.0 l16=-0.4 l17=-0.5 l18=-0.3 l19=0.0 l20=2.8 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=3906250.0
[recv   2] L: l0=0.0 l1=-21.1 l2=3.5 l3=9.0 l4=-12.6 l5=-15.8 l6=-10.0 l7=0.0 l8=-0.5 l9=-0.6 l10=-0.1 l11=0.0 l12=-6.4 l13=-8.0 l14=-5.9 l15=0.0 l16=-0.5 l17=-0.6 l18=-0.4 l19=0.0 l20=2.7 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=198.7
[recv   3] L: l0=0.0 l1=-21.3 l2=3.6 l3=9.2 l4=-12.6 l5=-15.8 l6=-10.0 l7=0.0 l8=-0.5 l9=-0.6 l10=-0.1 l11=0.0 l12=-6.4 l13=-8.0 l14=-5.9 l15=0.0 l16=-0.6 l17=-0.7 l18=-0.4 l19=0.0 l20=2.7 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=99.7
[recv   4] L: l0=0.0 l1=-21.6 l2=3.7 l3=9.4 l4=-12.6 l5=-15.8 l6=-10.0 l7=0.0 l8=-0.5 l9=-0.6 l10=-0.1 l11=0.0 l12=-6.5 l13=-8.1 l14=-5.9 l15=0.0 l16=-0.8 l17=-1.0 l18=-0.6 l19=0.0 l20=2.6 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=79.9
[recv   5] L: l0=0.0 l1=-21.8 l2=3.8 l3=9.6 l4=-12.7 l5=-15.9 l6=-10.0 l7=0.0 l8=-0.6 l9=-0.8 l10=-0.2 l11=0.0 l12=-6.6 l13=-8.2 l14=-6.0 l15=0.0 l16=-1.0 l17=-1.3 l18=-0.9 l19=0.0 l20=2.6 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=83.2
[recv   6] L: l0=0.0 l1=-22.0 l2=3.8 l3=9.6 l4=-12.7 l5=-15.9 l6=-10.0 l7=0.0 l8=-0.7 l9=-0.9 l10=-0.3 l11=0.0 l12=-6.7 l13=-8.4 l14=-6.1 l15=0.0 l16=-1.3 l17=-1.7 l18=-1.1 l19=0.0 l20=2.6 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=74.9
[recv   7] L: l0=0.0 l1=-22.1 l2=3.8 l3=9.6 l4=-12.7 l5=-15.9 l6=-10.0 l7=0.0 l8=-0.9 l9=-1.1 l10=-0.4 l11=0.0 l12=-6.8 l13=-8.5 l14=-6.2 l15=0.0 l16=-1.6 l17=-2.0 l18=-1.4 l19=0.0 l20=2.6 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=77.7
[recv   8] L: l0=0.0 l1=-22.2 l2=3.7 l3=9.5 l4=-12.7 l5=-15.9 l6=-10.0 l7=0.0 l8=-1.1 l9=-1.4 l10=-0.6 l11=0.0 l12=-6.9 l13=-8.7 l14=-6.3 l15=0.0 l16=-1.9 l17=-2.4 l18=-1.6 l19=0.0 l20=2.6 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=72.7
[recv   9] L: l0=0.0 l1=-22.3 l2=3.7 l3=9.4 l4=-12.8 l5=-16.0 l6=-10.0 l7=0.0 l8=-1.3 l9=-1.7 l10=-0.8 l11=0.0 l12=-7.1 l13=-8.9 l14=-6.4 l15=0.0 l16=-2.2 l17=-2.7 l18=-1.9 l19=0.0 l20=2.6 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=69.2
[recv  10] L: l0=0.0 l1=-22.3 l2=3.6 l3=9.2 l4=-12.8 l5=-16.1 l6=-10.0 l7=0.0 l8=-1.6 l9=-2.0 l10=-1.0 l11=0.0 l12=-7.2 l13=-9.1 l14=-6.5 l15=0.0 l16=-2.4 l17=-3.1 l18=-2.1 l19=0.0 l20=2.7 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=71.4
[recv  11] L: l0=0.0 l1=-22.2 l2=3.6 l3=9.0 l4=-13.1 l5=-16.3 l6=-10.2 l7=0.0 l8=-2.1 l9=-2.6 l10=-1.4 l11=0.0 l12=-7.5 l13=-9.4 l14=-6.7 l15=0.0 l16=-2.9 l17=-3.7 l18=-2.5 l19=0.0 l20=2.7 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=68.7
